Date_UTC,Time_UTC,Sun_Longitude,Moon_Longitude,Venus_Longitude
1940-01-01,00:00,280.2607,174.5065,309.1379
1940-01-02,00:00,281.2799,188.6139,310.3763
1940-01-03,00:00,282.2992,202.5,311.6144
1940-01-04,00:00,283.3185,216.1719,312.852
1940-01-05,00:00,284.338,229.6449,314.0892
1940-01-06,00:00,285.3575,242.933,315.326
1940-01-07,00:00,286.3771,256.0437,316.5623
1940-01-08,00:00,287.3966,268.9764,317.7981
1940-01-09,00:00,288.4161,281.7246,319.0334
1940-01-10,00:00,289.4356,294.2804,320.2682
1940-01-11,00:00,290.455,306.6406,321.5024
1940-01-12,00:00,291.4743,318.8122,322.736
1940-01-13,00:00,292.4935,330.8165,323.9691
1940-01-14,00:00,293.5125,342.6916,325.2014
1940-01-15,00:00,294.5314,354.4919,326.4331
1940-01-16,00:00,295.5501,6.2873,327.664
1940-01-17,00:00,296.5686,18.1598,328.8942
1940-01-18,00:00,297.5869,30.2001,330.1237
1940-01-19,00:00,298.6049,42.5015,331.3523
1940-01-20,00:00,299.6227,55.1532,332.5802
1940-01-21,00:00,300.6403,68.2295,333.8071
1940-01-22,00:00,301.6576,81.7781,335.0332
1940-01-23,00:00,302.6746,95.8058,336.2584
1940-01-24,00:00,303.6914,110.2681,337.4827
1940-01-25,00:00,304.708,125.0668,338.706
1940-01-26,00:00,305.7244,140.06,339.9283
1940-01-27,00:00,306.7406,155.0849,341.1497
1940-01-28,00:00,307.7565,169.9873,342.3701
1940-01-29,00:00,308.7723,184.646,343.5895
1940-01-30,00:00,309.7879,198.986,344.808
1940-01-31,00:00,310.8033,212.9774,346.0254
1940-02-01,00:00,311.8185,226.6266,347.2418
1940-02-02,00:00,312.8336,239.9623,348.4571
1940-02-03,00:00,313.8484,253.0234,349.6714
1940-02-04,00:00,314.8629,265.8488,350.8845
1940-02-05,00:00,315.8772,278.4721,352.0966
1940-02-06,00:00,316.8913,290.9191,353.3075
1940-02-07,00:00,317.905,303.2085,354.5172
1940-02-08,00:00,318.9185,315.3547,355.7256
1940-02-09,00:00,319.9315,327.3724,356.9328
1940-02-10,00:00,320.9442,339.2808,358.1387
1940-02-11,00:00,321.9566,351.1077,359.3432
1940-02-12,00:00,322.9685,2.8922,0.5463
1940-02-13,00:00,323.98,14.6863,1.748
1940-02-14,00:00,324.991,26.5547,2.9482
1940-02-15,00:00,326.0016,38.5735,4.1469
1940-02-16,00:00,327.0117,50.8269,5.344
1940-02-17,00:00,328.0213,63.4013,6.5395
1940-02-18,00:00,329.0305,76.3778,7.7333
1940-02-19,00:00,330.0391,89.8204,8.9254
1940-02-20,00:00,331.0472,103.7619,10.1157
1940-02-21,00:00,332.0548,118.1892,11.3043
1940-02-22,00:00,333.062,133.0334,12.491
1940-02-23,00:00,334.0686,148.1696,13.6758
1940-02-24,00:00,335.0748,163.4322,14.8586
1940-02-25,00:00,336.0805,178.6418,16.0396
1940-02-26,00:00,337.0858,193.6364,17.2186
1940-02-27,00:00,338.0907,208.295,18.3956
1940-02-28,00:00,339.0952,222.5475,19.5706
1940-02-29,00:00,340.0992,236.3726,20.7435
1940-03-01,00:00,341.1029,249.7864,21.9144
1940-03-02,00:00,342.1061,262.8294,23.0832
1940-03-03,00:00,343.109,275.5546,24.2498
1940-03-04,00:00,344.1113,288.0178,25.4142
1940-03-05,00:00,345.1133,300.2721,26.5764
1940-03-06,00:00,346.1148,312.3646,27.7362
1940-03-07,00:00,347.1158,324.3356,28.8938
1940-03-08,00:00,348.1163,336.2197,30.0489
1940-03-09,00:00,349.1163,348.0477,31.2015
1940-03-10,00:00,350.1158,359.8504,32.3515
1940-03-11,00:00,351.1147,11.6609,33.499
1940-03-12,00:00,352.113,23.5176,34.6438
1940-03-13,00:00,353.1108,35.4665,35.7858
1940-03-14,00:00,354.108,47.5619,36.9249
1940-03-15,00:00,355.1046,59.8654,38.0612
1940-03-16,00:00,356.1006,72.4439,39.1944
1940-03-17,00:00,357.0959,85.3642,40.3246
1940-03-18,00:00,358.0906,98.6853,41.4515
1940-03-19,00:00,359.0846,112.4477,42.5752
1940-03-20,00:00,0.0781,126.6613,43.6955
1940-03-21,00:00,1.0709,141.2933,44.8124
1940-03-22,00:00,2.063,156.2624,45.9257
1940-03-23,00:00,3.0546,171.441,47.0354
1940-03-24,00:00,4.0456,186.6707,48.1413
1940-03-25,00:00,5.036,201.7858,49.2435
1940-03-26,00:00,6.0259,216.6387,50.3418
1940-03-27,00:00,7.0152,231.1196,51.4362
1940-03-28,00:00,8.0041,245.1657,52.5265
1940-03-29,00:00,8.9925,258.7595,53.6128
1940-03-30,00:00,9.9803,271.9206,54.6948
1940-03-31,00:00,10.9677,284.695,55.7725
1940-04-01,00:00,11.9546,297.1441,56.8458
1940-04-02,00:00,12.941,309.3359,57.9147
1940-04-03,00:00,13.9269,321.3386,58.9788
1940-04-04,00:00,14.9123,333.2166,60.0383
1940-04-05,00:00,15.8971,345.0277,61.0928
1940-04-06,00:00,16.8815,356.8229,62.1422
1940-04-07,00:00,17.8653,8.646,63.1865
1940-04-08,00:00,18.8485,20.5354,64.2255
1940-04-09,00:00,19.8312,32.5256,65.2589
1940-04-10,00:00,20.8133,44.6496,66.2866
1940-04-11,00:00,21.7948,56.9405,67.3085
1940-04-12,00:00,22.7757,69.4329,68.3242
1940-04-13,00:00,23.756,82.1637,69.3337
1940-04-14,00:00,24.7357,95.1702,70.3367
1940-04-15,00:00,25.7147,108.4871,71.3329
1940-04-16,00:00,26.6932,122.1413,72.3222
1940-04-17,00:00,27.671,136.1444,73.3043
1940-04-18,00:00,28.6481,150.4845,74.279
1940-04-19,00:00,29.6247,165.119,75.2459
1940-04-20,00:00,30.6006,179.9709,76.2049
1940-04-21,00:00,31.576,194.9316,77.1556
1940-04-22,00:00,32.5508,209.8711,78.0979
1940-04-23,00:00,33.5251,224.6542,79.0314
1940-04-24,00:00,34.4989,239.1599,79.9559
1940-04-25,00:00,35.4722,253.2964,80.871
1940-04-26,00:00,36.445,267.0112,81.7766
1940-04-27,00:00,37.4174,280.2917,82.6723
1940-04-28,00:00,38.3893,293.1609,83.5577
1940-04-29,00:00,39.3609,305.6683,84.4326
1940-04-30,00:00,40.332,317.8815,85.2965
1940-05-01,00:00,41.3027,329.8772,86.1492
1940-05-02,00:00,42.2729,341.735,86.9901
1940-05-03,00:00,43.2428,353.532,87.819
1940-05-04,00:00,44.2122,5.3393,88.6352
1940-05-05,00:00,45.1812,17.2193,89.4385
1940-05-06,00:00,46.1497,29.2242,90.2282
1940-05-07,00:00,47.1179,41.3947,91.0038
1940-05-08,00:00,48.0855,53.7603,91.7649
1940-05-09,00:00,49.0527,66.3399,92.5108
1940-05-10,00:00,50.0195,79.1436,93.241
1940-05-11,00:00,50.9857,92.1755,93.9548
1940-05-12,00:00,51.9515,105.4354,94.6515
1940-05-13,00:00,52.9168,118.9217,95.3304
1940-05-14,00:00,53.8816,132.6316,95.9909
1940-05-15,00:00,54.8459,146.5597,96.6322
1940-05-16,00:00,55.8097,160.6947,97.2534
1940-05-17,00:00,56.773,175.0145,97.8539
1940-05-18,00:00,57.7358,189.4801,98.4327
1940-05-19,00:00,58.6982,204.0325,98.989
1940-05-20,00:00,59.6601,218.5919,99.5221
1940-05-21,00:00,60.6217,233.0633,100.0309
1940-05-22,00:00,61.5828,247.3474,100.5147
1940-05-23,00:00,62.5436,261.3541,100.9725
1940-05-24,00:00,63.5041,275.016,101.4035
1940-05-25,00:00,64.4642,288.2967,101.8067
1940-05-26,00:00,65.4241,301.1938,102.1812
1940-05-27,00:00,66.3837,313.7363,102.526
1940-05-28,00:00,67.3431,325.9784,102.8401
1940-05-29,00:00,68.3022,337.9921,103.1227
1940-05-30,00:00,69.2611,349.86,103.3727
1940-05-31,00:00,70.2197,1.669,103.5892
1940-06-01,00:00,71.1782,13.5046,103.7712
1940-06-02,00:00,72.1364,25.4466,103.9178
1940-06-03,00:00,73.0943,37.5643,104.0282
1940-06-04,00:00,74.0521,49.9123,104.1014
1940-06-05,00:00,75.0096,62.5271,104.1368
1940-06-06,00:00,75.9669,75.4246,104.1337
1940-06-07,00:00,76.9239,88.5993,104.0913
